1385882628378, 0, 359, Chrome, 31.0.1650.57, 31, Netscape, Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.57 Safari/537.36, 
1385882656084, 0, 3526, Chrome, 31.0.1650.57, 31, Netscape, Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.57 Safari/537.36, 
1385883896857, 0, 4072, Chrome, 31.0.1650.57, 31, Netscape, Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.57 Safari/537.36, [object Object], 
1385884028441, 0, 2200, Chrome, 31.0.1650.57, 31, Netscape, Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.57 Safari/537.36, 9, 9, 14, 3, 
Chrome, 31.0.1650.57, 31, Netscape, Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.57 Safari/537.36, 
generic, 1385886332318, 0, 2059, Chrome, 31.0.1650.57, 31, Netscape, Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.57 Safari/537.36, 9, 9, 14, 3, 
generic, 1385886332318, 0, 4914, Chrome, 31.0.1650.57, 31, Netscape, Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.57 Safari/537.36, 25, 15, 26, 3, 
generic, 1385886779643, 0, 5631, Chrome, 31.0.1650.57, 31, Netscape, Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.57 Safari/537.36, 29, 16, 28, 3, 
generic, 1385886779643, 0, 8455, Chrome, 31.0.1650.57, 31, Netscape, Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.57 Safari/537.36, 29, 16, 28, 3, 
generic, 1385886779643, 0, 13026, Chrome, 31.0.1650.57, 31, Netscape, Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.57 Safari/537.36, 29, 16, 28, 3, 
generic, 1385886940827, 0, 5990, Chrome, 31.0.1650.57, 31, Netscape, Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.57 Safari/537.36, 29, 16, 28, 3, 
Chrome, 31.0.1650.57, 31, Netscape, Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.57 Safari/537.36, 
generic, 1385887398069, 0, 5226, Chrome, 31.0.1650.57, 31, Netscape, Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.57 Safari/537.36, 29, 16, 28, 3, 
generic, 1385887468994, 0, 2106, Chrome, 31.0.1650.57, 31, Netscape, Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.57 Safari/537.36, 9, 9, 14, 3, 
generic, 1385887512780, 0, 2930, Chrome, 31.0.1650.57, 31, Netscape, Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.57 Safari/537.36, 9, 9, 14, 3, 
generic, 1385888298983, 0, 3307, Chrome, 31.0.1650.57, 31, Netscape, Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.57 Safari/537.36, 16, 12, 20, 3, 
generic, 1385888553240, 0, 9813, Chrome, 31.0.1650.57, 31, Netscape, Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.57 Safari/537.36, 0, 0, 0, 0, 
generic, 1385889314661, 0, 0, Chrome, 31.0.1650.57, 31, Netscape, Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.57 Safari/537.36, 0, 0, 0, 0, 
generic, 1385889314661, 0, 3666, Chrome, 31.0.1650.57, 31, Netscape, Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.57 Safari/537.36, 16, 12, 20, 3, 
generic, 1385889591270, 0, 0, Chrome, 31.0.1650.57, 31, Netscape, Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.57 Safari/537.36, 0, 0, 0, 0, 
generic, 1385889591270, 0, 1966, Chrome, 31.0.1650.57, 31, Netscape, Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.57 Safari/537.36, 3, 4, 5, 2, 
generic, 1385889650941, 0, 0, Chrome, 31.0.1650.57, 31, Netscape, Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.57 Safari/537.36, 0, 0, 0, 0, 0, 
generic, 1385889650941, 0, 3775, Chrome, 31.0.1650.57, 31, Netscape, Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.57 Safari/537.36, 16, 12, 20, 3, 2, 
